LicorFile,DAQFile,PICARROFile,OverlapStart,OverlapEnd,OverlapDuration,Type,SensorA,SensorB
,01.01.2025/01_01_25_E_D.daq,01.01.2025/01_01_25.picarro,1/1/2025 14:00,1/7/2025 23:59,48:00:00,AMB,E,D
10.10.2024/10_10_24_A_G.picarro,10.10.2024/10_10_24_A_G.daq,,10/10/2024 11:09,10/10/2024 23:59,12:50:57,CL,X,X
07.08.2024/07_08_24_E_C.licor,07.08.2024/07_09_24_E_C.daq,,7/9/2024 0:00,7/9/2024 6:58,6:58:15,AMB,E,C
07.09.2024/07_10_24_E_C.licor,07.09.2024/07_10_24_E_C.daq,,7/10/2024 0:00,7/10/2024 6:35,6:35:41,AMB,E,C
07.08.2024/07_08_24_E_C.licor,07.08.2024/07_08_24_E_C.daq,,7/8/2024 9:45,7/8/2024 23:59,14:14:57,CL,E,C
06.16.2024/06_16_24_C_E.licor,06.16.2024/06_16_24_C_E.daq,,6/16/2024 11:18,6/18/2024 7:47,44:29:21,CL,C,E
07.05.2024/07_05_24_E_C.licor,07.05.2024/07_05_24_E_C.daq,,7/5/2024 10:52,7/7/2024 7:12,44:20:16,CL,E,C
