Model:	LI-7810
SN:	TG10-01524
Software Version:	2.3.5
Timestamp:	2024-07-17 07:49:27
Timezone:	US/Mountain
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1721230824	561975955	26641	0	""	2024-07-17	09:40:24	14948.844	439.90527	1967.9594	40.8697	55.0003	29.2601	51.1578	0.00291609	10.8356	54.5007	82.5	0.28126	16.0984	 68
DATA	1721230825	561975955	26645	0	""	2024-07-17	09:40:25	14952.108	443.42294	1968.0409	40.8693	55.0003	29.2584	51.1578	0.00294808	10.834	54.5005	-6.75	0.28126	16.0976	 44
DATA	1721230826	561975955	26649	0	""	2024-07-17	09:40:26	14961.618	442.07755	1968.4219	40.871	55.0003	29.2589	51.1578	0.00288014	10.8342	54.5005	-109.25	0.28126	16.098	 92
DATA	1721230827	561975955	26653	0	""	2024-07-17	09:40:27	14957.263	441.16315	1968.2333	40.8706	55.0003	29.2564	51.1576	0.0029055	10.8351	54.5005	41.25	0.28126	16.0972	 21
DATA	1721230828	561975955	26657	0	""	2024-07-17	09:40:28	14967.067	442.30057	1966.9111	40.8697	55.0003	29.258	51.1578	0.00297497	10.8362	54.5005	47.5	0.28126	16.0968	 18
DATA	1721230829	561975955	26661	0	""	2024-07-17	09:40:29	14978.158	440.4856	1968.3389	40.8702	55.0003	29.2568	51.1576	0.003363	10.8361	54.5005	-95.75	0.28126	16.0964	  7
DATA	1721230830	561975955	26665	0	""	2024-07-17	09:40:30	14978.567	439.64459	1967.6113	40.8689	55.0003	29.2556	51.1576	0.00296491	10.8364	54.5005	134.25	0.28126	16.0968	169
DATA	1721230831	561975955	26669	32	""	2024-07-17	09:40:31	14883.733	445.80835	1941.8357	40.8693	55.0003	29.2593	51.1578	0.0493592	10.8362	54.5005	70.75	0.28126	16.0964	116
DATA	1721230832	561625003	26673	0	""	2024-07-17	09:40:32	14989.904	441.72302	1967.5354	40.8702	55.0003	29.258	51.1578	0.00291344	10.8353	54.5005	73	0.28126	16.096	 62
DATA	1721230833	561625003	26677	0	""	2024-07-17	09:40:33	14997.564	444.8605	1968.5382	40.8706	55.0003	29.2572	51.1578	0.00291184	10.8343	54.5005	52.5	0.28126	16.0996	238
DATA	1721230834	561625003	26681	0	""	2024-07-17	09:40:34	15009.899	440.23657	1967.519	40.8697	55.0003	29.2593	51.1578	0.00292619	10.8354	54.5005	-27.75	0.28126	16.0976	 89
DATA	1721230835	561625003	26685	0	""	2024-07-17	09:40:35	15018.261	439.50357	1968.1356	40.8702	55.0003	29.2584	51.1578	0.00295105	10.8363	54.5005	6	0.28126	16.098	 65
DATA	1721230836	561625003	26689	0	""	2024-07-17	09:40:36	15020.95	438.5065	1966.7021	40.8702	55.0003	29.2576	51.1578	0.00288376	10.835	54.5005	61.25	0.28126	16.0984	172
DATA	1721230837	561625003	26693	0	""	2024-07-17	09:40:37	15022.5	440.75824	1967.1748	40.8697	55.0003	29.2601	51.1578	0.00292322	10.8347	54.5005	14.5	0.28126	16.0976	167
DATA	1721230838	561625003	26697	0	""	2024-07-17	09:40:38	15025.518	436.75549	1967.0781	40.8697	55.0003	29.2613	51.1578	0.00292917	10.8363	54.5005	-59.25	0.28126	16.0972	141
DATA	1721230839	561276912	26701	0	""	2024-07-17	09:40:39	15033.228	443.07999	1968.3564	40.8697	55.0003	29.2589	51.1578	0.00293253	10.8349	54.5005	107	0.28126	16.0976	  4
DATA	1721230840	561276912	26705	0	""	2024-07-17	09:40:40	15034.043	443.6647	1968.2029	40.8702	55.0003	29.258	51.1576	0.00301243	10.837	54.5005	-5	0.28126	16.098	192
DATA	1721230841	561276912	26709	0	""	2024-07-17	09:40:41	15050.997	444.63559	1968.0181	40.8706	55.0003	29.2589	51.1578	0.0029554	10.8362	54.5005	57	0.28126	16.0972	144
DATA	1721230842	561276912	26713	0	""	2024-07-17	09:40:42	15039.856	441.58685	1968.0305	40.871	55.0003	29.2589	51.1578	0.00290252	10.8356	54.5005	45.75	0.28126	16.0976	 33
DATA	1721230843	561276912	26717	0	""	2024-07-17	09:40:43	15053.019	442.70334	1967.9995	40.8702	55.0003	29.258	51.1578	0.00292223	10.8354	54.5005	-46.75	0.28126	16.0968	 72
DATA	1721230844	561276912	26721	0	""	2024-07-17	09:40:44	15059.561	442.11752	1967.1237	40.8706	55.0003	29.256	51.1578	0.00304591	10.8353	54.5005	30.25	0.28126	16.0964	255
DATA	1721230845	561276912	26725	0	""	2024-07-17	09:40:45	15054.387	441.88	1967.6713	40.8714	55.0003	29.2576	51.1578	0.00289026	10.8346	54.5005	117.75	0.28126	16.0964	241
DATA	1721230846	561276912	26729	0	""	2024-07-17	09:40:46	15066.658	439.15295	1967.8959	40.8702	55.0003	29.2584	51.1578	0.00294859	10.8358	54.5005	-12.5	0.28126	16.096	 59
DATA	1721230847	560920000	26733	0	""	2024-07-17	09:40:47	15063.302	439.3941	1967.493	40.8706	55.0003	29.2589	51.1578	0.00295281	10.8361	54.5005	-48.5	0.28126	16.096	164
DATA	1721230848	560920000	26737	0	""	2024-07-17	09:40:48	15065.76	444.80188	1968.6552	40.871	55.0003	29.2572	51.1578	0.00290483	10.8348	54.5005	18.25	0.28126	16.0956	233
DATA	1721230849	560920000	26741	0	""	2024-07-17	09:40:49	15070.88	439.94962	1967.8997	40.8702	55.0003	29.2584	51.1576	0.00294626	10.8355	54.5005	-62.75	0.28126	16.0964	 95
DATA	1721230850	560920000	26745	0	""	2024-07-17	09:40:50	15069.91	439.13837	1966.1873	40.8706	55.0003	29.2584	51.1578	0.00296073	10.8352	54.5005	136.25	0.28126	16.0996	 68
