T,Q,CA,TA,HA,CB,TB,HB,C,F,F_licor,UF
05/21/2024 11:45,3.42579349646465e-05,831.375543422186,21.955303030303,5,794.878236248082,22.0598484848485,5,794.921465897197,-0.437861494473828,0,31.6876699928517
05/21/2024 11:46,3.42610440359848e-05,831.37554341899,21.9581439393939,5,794.878235104328,22.0573863636364,5,796.682099663741,-0.437861508195549,0.0211224825201575,31.687670983203
05/21/2024 11:47,3.42654000409091e-05,831.375543425184,21.9610606060606,5,794.878234418189,22.0622727272727,5,798.433676974536,-0.437861516427222,0.0421363139216741,31.6876715844364
05/21/2024 11:48,3.42554374825758e-05,831.375543425243,21.9677272727273,5,794.87823421275,22.0606060606061,5,801.406170427313,-0.437861518891884,0.0777975866921071,31.6876717625426
05/21/2024 11:49,3.42466721787879e-05,831.375543423227,21.9628787878788,5,794.878233460314,22.0663636363636,5,804.554554226734,-0.437861527918939,0.115569031857864,31.6876724138002
05/21/2024 11:50,3.42336374727273e-05,831.375543423525,21.9657575757576,5,794.878231672742,22.0637878787879,5,807.528567099359,-0.437861549364602,0.151248533245628,31.6876739656583
05/21/2024 11:51,3.42228057893939e-05,831.375543421012,21.9724242424242,5,794.878231672574,22.0771212121212,5,809.973825628041,-0.43786154936661,0.180584520951189,31.6876739632847
05/21/2024 11:52,3.42102947272727e-05,831.375543411736,21.9812121212121,5,794.878231672315,22.0874242424242,5,811.84901777496,-0.437861549369724,0.203081370720794,31.6876739550681
05/21/2024 11:53,3.42125346219697e-05,831.375543412086,21.9948484848485,5,794.878231672274,22.1157575757576,5,813.756889444038,-0.437861549370219,0.225970279673108,31.6876739554773
05/21/2024 11:54,3.42170131719697e-05,831.375543397727,22.0115151515151,5,794.878231672322,22.1407575757576,5,815.430033467288,-0.437861549369638,0.246043139830829,31.6876739431081
05/21/2024 11:55,3.42253546030303e-05,831.3755433981,22.0219696969697,5,794.878231672278,22.1766666666667,5,816.87490272202,-0.437861549370162,0.263377366946606,31.6876739437287
05/21/2024 11:56,3.42334459863636e-05,831.375543397719,22.0436363636364,5,794.878231672297,22.2033333333333,5,818.176614402523,-0.437861549369933,0.278994119697909,31.687673943633
05/21/2024 11:57,3.42431870030303e-05,831.375543395956,22.060303030303,5,794.878231672479,22.2184848484848,5,819.497811819366,-0.437861549367753,0.294844644590269,31.6876739422469
05/21/2024 11:58,3.42516935833333e-05,831.375543395489,22.0783333333333,5,794.87823167248,22.2284848484848,5,820.462720287814,-0.437861549367744,0.306420738747748,31.687673942106
05/21/2024 11:59,3.42632410166667e-05,831.375543397846,22.09,5,794.878231672429,22.2384848484848,5,821.092572877033,-0.437861549368356,0.313977137221328,31.6876739445558
05/21/2024 12:00,3.42686159583333e-05,831.375543397157,22.1140909090909,5,794.878231672429,22.2498484848485,5,821.661926401569,-0.437861549368356,0.320807722944683,31.6876739441251
05/21/2024 12:01,3.42596009166667e-05,831.375543397227,22.1207575757576,5,794.878231672402,22.2448484848485,5,822.042399903945,-0.437861549368676,0.325372297960802,31.6876739439283
05/21/2024 12:02,3.42470855166667e-05,831.375543397234,22.1307575757576,5,794.878231672202,22.2613636363636,5,822.351528083004,-0.437861549371076,0.329080936680994,31.6876739437189
05/21/2024 12:03,3.42381513454545e-05,831.375543397229,22.1363636363636,5,794.878231672201,22.2604545454545,5,822.612373238881,-0.437861549371085,0.332210319605577,31.6876739434371
05/21/2024 12:04,3.42231853537879e-05,831.37554339489,22.154696969697,5,794.878231672201,22.2554545454545,5,823.05273046442,-0.437861549371091,0.33749332506408,31.6876739409416
05/21/2024 12:05,3.42150189871212e-05,831.375543394915,22.1622727272727,5,794.878231672201,22.2490909090909,5,823.330946869881,-0.437861549371091,0.3408311124409,31.6876739407092
05/21/2024 12:06,3.42148904e-05,831.375543394837,22.1684848484848,5,794.878231672201,22.2622727272727,5,823.822483377448,-0.437861549371093,0.346728120374282,31.6876739406378
05/21/2024 12:07,3.42170137916667e-05,831.375543394845,22.1731060606061,5,794.87823167219,22.2549242424242,5,824.036210488853,-0.437861549371219,0.34929222385822,31.68767394072
05/21/2024 12:08,3.42162768686869e-05,831.375543394876,22.1853535353535,5,794.87823167219,22.2580808080808,5,824.319114175184,-0.437861549371219,0.352686244967529,31.687673940724
