Model:	LI-7810
SN:	TG10-01524
Software Version:	2.3.5
Timestamp:	2024-07-12 08:00:00
Timezone:	US/Mountain
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1720792800	300956964	2387261	0	""	2024-07-12	08:00:00	14960.123	445.61276	2040.6942	40.9714	55.0003	38.0958	51.1336	0.002846	10.8449	54.5005	-68.25	0.257088	24.139	106
DATA	1720792801	300956964	2387265	0	""	2024-07-12	08:00:01	14963.373	450.46198	2040.9424	40.9705	55.0003	38.0921	51.1336	0.00284862	10.844	54.5005	-131.75	0.257088	24.139	205
DATA	1720792802	300956964	2387269	0	""	2024-07-12	08:00:02	14959.953	449.9924	2040.913	40.9705	55.0003	38.0917	51.1336	0.00291124	10.8448	54.5005	22.75	0.257088	24.139	 78
DATA	1720792803	300956964	2387273	0	""	2024-07-12	08:00:03	14953.378	448.11383	2041.307	40.9709	55.0003	38.0896	51.1336	0.00281948	10.8472	54.5005	-42.5	0.257088	24.1394	171
DATA	1720792804	300956964	2387277	0	""	2024-07-12	08:00:04	14959.918	452.65485	2041.5372	40.9701	55.0003	38.09	51.1336	0.00288937	10.8458	54.5005	37.25	0.257088	24.1409	142
DATA	1720792805	300606966	2387281	0	""	2024-07-12	08:00:05	14959.223	452.18723	2041.2009	40.9701	55.0003	38.0904	51.1336	0.0029513	10.8456	54.5005	-16.25	0.257088	24.1401	176
DATA	1720792806	300606966	2387285	0	""	2024-07-12	08:00:06	14958.283	449.67834	2041.3878	40.9701	55.0003	38.0908	51.1336	0.00285018	10.8471	54.5005	28.5	0.257088	24.1397	190
DATA	1720792807	300606966	2387289	0	""	2024-07-12	08:00:07	14959.222	452.35156	2041.0526	40.9705	55.0003	38.0921	51.1336	0.00313629	10.8475	54.5005	5	0.257088	24.1397	 14
DATA	1720792808	300606966	2387293	0	""	2024-07-12	08:00:08	14958.087	449.02612	2040.8208	40.9705	55.0003	38.0917	51.1336	0.0029115	10.8448	54.5005	0.75	0.257088	24.1397	120
DATA	1720792809	300606966	2387297	0	""	2024-07-12	08:00:09	14960.569	450.86771	2040.5905	40.9709	55.0003	38.0921	51.1336	0.00287183	10.8461	54.5005	23.5	0.257088	24.1394	183
DATA	1720792810	300606966	2387301	0	""	2024-07-12	08:00:10	14958.986	448.79266	2040.5868	40.9705	55.0003	38.0929	51.1336	0.00285062	10.8447	54.5005	29	0.257088	24.1397	 91
DATA	1720792811	300606966	2387305	0	""	2024-07-12	08:00:11	14960.456	449.6369	2042.3043	40.9701	55.0003	38.0929	51.1336	0.00287017	10.8462	54.5009	-196.75	0.257088	24.1397	  9
DATA	1720792812	300606966	2387309	0	""	2024-07-12	08:00:12	14956.751	449.50049	2041.1906	40.9705	55.0003	38.0896	51.1336	0.00288256	10.8466	54.5007	-28	0.257088	24.1397	128
DATA	1720792813	300262928	2387313	0	""	2024-07-12	08:00:13	14957.64	447.32092	2040.5969	40.9709	55.0003	38.0896	51.1336	0.00286664	10.8444	54.5009	136.75	0.257088	24.1401	225
DATA	1720792814	300262928	2387317	0	""	2024-07-12	08:00:14	14961.304	449.66025	2041.1036	40.9705	55.0003	38.0908	51.1336	0.00289221	10.8452	54.5009	-83.25	0.257088	24.1401	232
DATA	1720792815	300262928	2387321	0	""	2024-07-12	08:00:15	14957.922	449.35889	2040.0586	40.9705	55.0003	38.09	51.1336	0.00291557	10.8449	54.5005	44.75	0.257088	24.1386	134
DATA	1720792816	300262928	2387325	0	""	2024-07-12	08:00:16	14961.683	450.62411	2041.4771	40.9697	55.0003	38.0904	51.1336	0.00289697	10.8472	54.5005	-40	0.257088	24.139	 65
