2024-07-31T12:03:27,0,358,-99999,-99999,352,-99999,-99999,126.76,125.44
2024-07-31T12:03:30,0,358,-99999,-99999,352,-99999,-99999,124.66,125.97
2024-07-31T12:03:33,0,357,-99999,-99999,352,-99999,-99999,124.66,124.4
2024-07-31T12:03:36,0,358,-99999,-99999,352,-99999,-99999,123.36,124.4
2024-07-31T12:03:40,0,359,-99999,-99999,352,-99999,-99999,128.11,127.57
2024-07-31T12:03:43,0,361,-99999,-99999,368,-99999,-99999,124.92,124.66
2024-07-31T12:03:46,0,364,-99999,-99999,368,-99999,-99999,124.92,125.18
2024-07-31T12:03:49,0,365,-99999,-99999,368,-99999,-99999,127.03,125.97
2024-07-31T12:03:52,0,367,-99999,-99999,368,-99999,-99999,127.83,127.3
2024-07-31T12:03:55,0,368,-99999,-99999,368,-99999,-99999,124.66,124.66
2024-07-31T12:03:59,0,368,-99999,-99999,368,-99999,-99999,123.88,124.14
2024-07-31T12:04:02,0,367,-99999,-99999,368,-99999,-99999,128.11,127.3
2024-07-31T12:04:05,0,365,-99999,-99999,368,-99999,-99999,124.66,124.4
2024-07-31T12:04:08,0,363,-99999,-99999,368,-99999,-99999,123.62,124.4
2024-07-31T12:04:11,0,362,-99999,-99999,368,-99999,-99999,126.23,125.18
2024-07-31T12:04:14,0,361,-99999,-99999,368,-99999,-99999,125.18,125.97
2024-07-31T12:04:18,0,360,-99999,-99999,352,-99999,-99999,124.92,124.92
2024-07-31T12:04:21,0,361,-99999,-99999,368,-99999,-99999,126.76,125.44
2024-07-31T12:04:24,0,362,-99999,-99999,368,-99999,-99999,124.14,125.7
2024-07-31T12:04:27,0,363,-99999,-99999,368,-99999,-99999,124.92,124.92
2024-07-31T12:04:30,0,364,-99999,-99999,368,-99999,-99999,123.11,124.14
2024-07-31T12:04:33,0,364,-99999,-99999,368,-99999,-99999,127.83,127.3
2024-07-31T12:04:36,0,364,-99999,-99999,368,-99999,-99999,124.66,124.66
2024-07-31T12:04:40,0,365,-99999,-99999,368,-99999,-99999,123.11,124.14
2024-07-31T12:04:43,0,364,-99999,-99999,368,-99999,-99999,127.83,127.3
2024-07-31T12:04:46,0,364,-99999,-99999,368,-99999,-99999,124.92,124.66
2024-07-31T12:04:49,0,363,-99999,-99999,368,-99999,-99999,124.66,124.4
2024-07-31T12:04:52,0,362,-99999,-99999,368,-99999,-99999,123.88,123.62
2024-07-31T12:04:55,0,361,-99999,-99999,368,-99999,-99999,127.03,127.3
2024-07-31T12:04:59,0,360,-99999,-99999,352,-99999,-99999,125.18,124.92
2024-07-31T12:05:02,0,359,-99999,-99999,352,-99999,-99999,125.97,124.92
2024-07-31T12:05:05,0,357,-99999,-99999,352,-99999,-99999,125.44,125.97
2024-07-31T12:05:08,0,357,-99999,-99999,352,-99999,-99999,124.66,124.4
2024-07-31T12:05:11,0,356,-99999,-99999,352,-99999,-99999,123.11,124.14
2024-07-31T12:05:14,0,357,-99999,-99999,352,-99999,-99999,128.11,127.57
2024-07-31T12:05:18,0,357,-99999,-99999,352,-99999,-99999,124.66,124.4
2024-07-31T12:05:21,0,359,-99999,-99999,352,-99999,-99999,123.36,124.4
2024-07-31T12:05:24,0,359,-99999,-99999,352,-99999,-99999,127.57,127.3
2024-07-31T12:05:27,0,359,-99999,-99999,352,-99999,-99999,123.88,124.4
2024-07-31T12:05:30,0,359,-99999,-99999,352,-99999,-99999,124.92,125.18
2024-07-31T12:05:33,0,358,-99999,-99999,352,-99999,-99999,127.3,126.23
2024-07-31T12:05:37,0,357,-99999,-99999,352,-99999,-99999,123.88,124.66
2024-07-31T12:05:40,0,355,-99999,-99999,352,-99999,-99999,124.66,125.18
2024-07-31T12:05:43,0,354,-99999,-99999,352,-99999,-99999,127.83,126.76
2024-07-31T12:05:46,0,353,-99999,-99999,352,-99999,-99999,125.97,126.76
2024-07-31T12:05:49,0,353,-99999,-99999,352,-99999,-99999,124.92,125.18
2024-07-31T12:05:52,0,353,-99999,-99999,352,-99999,-99999,123.36,123.62
2024-07-31T12:05:56,0,354,-99999,-99999,352,-99999,-99999,125.44,126.23
2024-07-31T12:05:59,0,355,-99999,-99999,352,-99999,-99999,124.66,124.92
2024-07-31T12:06:02,0,356,-99999,-99999,352,-99999,-99999,128.11,127.3
2024-07-31T12:06:05,0,358,-99999,-99999,352,-99999,-99999,124.14,125.7
2024-07-31T12:06:08,0,358,-99999,-99999,352,-99999,-99999,124.92,124.92
2024-07-31T12:06:11,0,358,-99999,-99999,352,-99999,-99999,127.83,127.03
2024-07-31T12:06:14,0,358,-99999,-99999,352,-99999,-99999,124.4,124.14
2024-07-31T12:06:18,0,358,-99999,-99999,352,-99999,-99999,123.36,123.62
2024-07-31T12:06:21,0,358,-99999,-99999,352,-99999,-99999,126.76,127.03
2024-07-31T12:06:24,0,359,-99999,-99999,352,-99999,-99999,124.14,123.62
2024-07-31T12:06:27,0,362,-99999,-99999,368,-99999,-99999,124.14,124.4
2024-07-31T12:06:30,0,364,-99999,-99999,368,-99999,-99999,127.83,127.03
2024-07-31T12:06:33,0,367,-99999,-99999,368,-99999,-99999,124.14,123.62
2024-07-31T12:06:37,0,368,-99999,-99999,368,-99999,-99999,124.14,124.66
2024-07-31T12:06:40,0,368,-99999,-99999,368,-99999,-99999,125.44,123.88
2024-07-31T12:06:43,0,367,-99999,-99999,368,-99999,-99999,125.18,125.97
